Date,Close,Volume,Open,High,Low
2532,1/22/2014,1238.6,80262,1240.5,1243.5,1235.5
2531,1/23/2014,1262.5,41697,1235.1,1267.1,1230.8
2530,1/24/2014,1264.5,34998,1264.3,1273.2,1256.9
2529,1/27/2014,1263.5,63419,1269.9,1280.1,1252
2528,1/28/2014,1250.5,81426,1254.9,1261.9,1248
2527,1/29/2014,1262.2,115459,1255.8,1270.7,1248.3
2526,1/30/2014,1242.5,155053,1267.2,1267.8,1237.5
2525,1/31/2014,1239.8,111168,1244,1254.8,1238.2
2524,2/3/2014,1259.9,120942,1242,1266.1,1240.4
2523,2/4/2014,1251.2,86988,1257.9,1260.7,1246.8
2522,2/5/2014,1256.9,122164,1254.2,1274.5,1251.8
2521,2/6/2014,1257.2,84600,1257.7,1267.5,1252.5
2520,2/7/2014,1262.9,128223,1256.9,1272,1255.5
2519,2/10/2014,1274.7,90391,1265.4,1277.8,1264.7
2518,2/11/2014,1289.8,146167,1274.2,1294.4,1273.5
2517,2/12/2014,1295,104754,1290.1,1296.4,1283.9
2516,2/13/2014,1300.1,116071,1290.8,1303,1286.2
2515,2/14/2014,1318.6,139926,1302.2,1321.5,1299.9
2513,2/18/2014,1324.4,172646,1329,1332.4,1312.3
2512,2/19/2014,1320.4,106195,1322,1323,1308.9
2511,2/20/2014,1316.9,121375,1322.4,1325.3,1307.1
2510,2/21/2014,1323.6,102130,1323,1328.8,1315.9
2509,2/24/2014,1338,122318,1336,1339.2,1318.7
2508,2/25/2014,1342.7,120790,1336.4,1343.8,1331.2
2507,2/26/2014,1328,142780,1341.3,1345.6,1322.3
2506,2/27/2014,1331.8,115418,1329.5,1336.4,1324
2505,2/28/2014,1321.6,127886,1331.3,1333.6,1319.3
2504,3/3/2014,1350.3,153906,1332.4,1355,1330.7
2503,3/4/2014,1337.9,130176,1350,1352.9,1331.2
2502,3/5/2014,1340.3,91934,1334.8,1342,1332.7
2501,3/6/2014,1351.8,133481,1337,1353.9,1331.3
2500,3/7/2014,1338.2,173637,1350.7,1353.2,1326.6
2499,3/10/2014,1341.5,120938,1340.8,1344.9,1327.5
2498,3/11/2014,1346.7,145527,1339.5,1353,1337.8
2497,3/12/2014,1370.5,211485,1348.8,1371.3,1345.6
2496,3/13/2014,1372.4,169978,1367.8,1375.7,1364.9
2495,3/14/2014,1379,176638,1370.9,1388.4,1368.2
2494,3/17/2014,1372.9,147056,1383.1,1392.6,1361.9
2493,3/18/2014,1359,152400,1356.6,1367.9,1351.1
2492,3/19/2014,1341.3,186381,1331.2,1360.2,1327.8
2491,3/20/2014,1330.5,159982,1331.7,1335.3,1320.8
2490,3/21/2014,1336,50231,1330.2,1343.2,1329
2489,3/24/2014,1311.1,43646,1310.3,1335.6,1308.4
2488,3/25/2014,1311.4,42956,1309.2,1317.7,1305.9
2487,3/26/2014,1303.4,49136,1312,1317,1299.4
2486,3/27/2014,1294.8,127230,1305.2,1307.5,1289.7
2485,3/28/2014,1294.3,161938,1292.3,1299.4,1286.1
2484,3/31/2014,1283.8,126180,1295,1299.3,1282.7
2483,4/1/2014,1280,102814,1284.6,1288.4,1277.4
2482,4/2/2014,1290.8,117467,1279.6,1294.9,1278.9
2481,4/3/2014,1284.6,95566,1290.4,1294.2,1281.9
2480,4/4/2014,1303.5,127900,1286.6,1307.5,1284.4
2479,4/7/2014,1298.3,72983,1304,1304.8,1295.8
2478,4/8/2014,1309.1,111942,1296.8,1314.7,1296.8
2477,4/9/2014,1305.9,120700,1308.5,1315.5,1301.1
2476,4/10/2014,1320.5,118683,1311.9,1324.9,1311
2475,4/11/2014,1319,84126,1318.1,1324.2,1314
2474,4/14/2014,1327.5,94712,1321,1331.4,1318.7
2473,4/15/2014,1300.3,176565,1290.5,1328.4,1284.4
2472,4/16/2014,1303.5,110052,1303.2,1307.1,1293.5
2471,4/17/2014,1293.9,91061,1302.1,1304.4,1292.8
2469,4/21/2014,1288.5,97714,1294.9,1302.5,1281.8
2468,4/22/2014,1281.1,111970,1290.3,1293.1,1275.8
2467,4/23/2014,1284.6,94896,1284,1289.1,1280.8
2466,4/24/2014,1290.6,181613,1283.9,1299,1268.4
2465,4/25/2014,1300.8,103095,1293.8,1305.2,1290.4
2464,4/28/2014,1299,95970,1303.2,1306.6,1292.1
2463,4/29/2014,1296.3,98134,1296,1302,1286.1
2462,4/30/2014,1295.9,135540,1295.6,1298.4,1284.9
2461,5/1/2014,1283.4,110658,1291.9,1293,1277.3
2460,5/2/2014,1302.9,165807,1284.7,1304.9,1272
2459,5/5/2014,1309.3,111036,1300.9,1315.8,1299.7
2458,5/6/2014,1308.6,100069,1309.7,1314.3,1304.4
2457,5/7/2014,1288.9,167867,1307.9,1315,1286.6
2456,5/8/2014,1287.7,113708,1289.8,1295.5,1284.8
2455,5/9/2014,1287.6,103679,1289.6,1294.5,1285.5
2454,5/12/2014,1295.8,126248,1289.8,1304.5,1277.7
2453,5/13/2014,1294.8,117087,1296,1299,1289.1
2452,5/14/2014,1305.9,113527,1293.9,1309.2,1291.6
2451,5/15/2014,1293.6,142454,1305.5,1307.3,1290.9
2450,5/16/2014,1293.4,103938,1296.4,1298.3,1287.7
2449,5/19/2014,1293.8,104869,1293,1305.7,1289.5
2448,5/20/2014,1294.6,123097,1293,1297.2,1286
2447,5/21/2014,1288.1,123195,1294.4,1296.3,1282.9
2446,5/22/2014,1295.2,18760,1292.1,1304.1,1290.5
2445,5/23/2014,1291.9,77183,1294.4,1295.9,1286.7
2443,5/27/2014,1265.7,88048,1293.5,1294.7,1263.4
2442,5/28/2014,1259.7,124675,1264,1267.5,1256.1
2441,5/29/2014,1257.1,133780,1259.2,1261.5,1251.4
2440,5/30/2014,1246,127954,1255.9,1260.6,1242.2
2439,6/2/2014,1244,87845,1250.5,1251,1241.1
2438,6/3/2014,1244.5,85769,1244.1,1247.9,1240.2
2437,6/4/2014,1244.3,72171,1244.9,1249.5,1242.8
2436,6/5/2014,1253.3,119944,1244.3,1257.9,1241.2
2435,6/6/2014,1252.5,109929,1253.7,1258.2,1245.7
2434,6/9/2014,1253.9,51490,1253,1257.3,1251.6
2433,6/10/2014,1260.1,100191,1252.7,1263.8,1250.1
2432,6/11/2014,1261.2,73562,1260.3,1265.5,1257.9
2431,6/12/2014,1274,114014,1261.1,1275.1,1260
2430,6/13/2014,1274.1,81163,1273.4,1278.1,1270.9
2429,6/16/2014,1275.3,94811,1276.8,1285.1,1270.5
2428,6/17/2014,1272,108934,1271.8,1273.5,1258
2427,6/18/2014,1272.7,85688,1272.1,1279.2,1266.5
2426,6/19/2014,1314.1,224721,1278.2,1322,1276.2
2425,6/20/2014,1316.6,152257,1320.3,1322.5,1307.1
2424,6/23/2014,1318.4,99633,1314.9,1319.2,1310.4
